Name,Code,Market,Marcap
에스팀,458350,KOSDAQ,999900000000
덕양에너젠,0001A0,KOSDAQ,999900000000
삼성스팩13호,0115H0,KOSDAQ,999900000000
엔비알모션,0004V0,KOSDAQ,999900000000
지에프아이,493330,KOSDAQ,999900000000
삼미금속,012210,KOSDAQ,999900000000
세미파이브,490470,KOSDAQ,999900000000
리브스메드,491000,KOSDAQ,999900000000
미래에셋비전스팩10호,0097F0,KOSDAQ,999900000000
미래에셋비전스팩11호,0099W0,KOSDAQ,999900000000
삼진식품,0013V0,KOSDAQ,999900000000
하나36호스팩,0101C0,KOSDAQ,999900000000
IBKS제25호스팩,0099X0,KOSDAQ,999900000000
알지노믹스,476830,KOSDAQ,999900000000
나라스페이스테크놀로지,478340,KOSDAQ,999900000000
아크릴,0007C0,KOSDAQ,999900000000
메리츠제1호스팩,0088D0,KOSDAQ,999900000000
교보19호스팩,0098T0,KOSDAQ,999900000000
쿼드메디슨,464490,KOSDAQ,999900000000
키움히어로제1호스팩,466690,KOSDAQ,999900000000
유진스팩12호,0105P0,KOSDAQ,999900000000
이지스,261520,KOSDAQ,999900000000
페스카로,0015S0,KOSDAQ,999900000000
테라뷰,950250,KOSDAQ,999900000000
엔에이치스팩32호,0054V0,KOSDAQ,999900000000
에임드바이오,0009K0,KOSDAQ,999900000000
미래에셋비전스팩9호,0096D0,KOSDAQ,999900000000
삼성스팩12호,0096B0,KOSDAQ,999900000000
미래에셋비전스팩8호,0093G0,KOSDAQ,999900000000
아로마티카,0015N0,KOSDAQ,999900000000
신영스팩11호,0091W0,KOSDAQ,999900000000
비엔케이제3호스팩,0068Y0,KOSDAQ,999900000000
비츠로넥스텍,488900,KOSDAQ,999900000000
씨엠티엑스,388210,KOSDAQ,999900000000
더핑크퐁컴퍼니,403850,KOSDAQ,999900000000
그린광학,0015G0,KOSDAQ,999900000000
알트,459550,KOSDAQ,999900000000
세나테크놀로지,061090,KOSDAQ,999900000000
큐리오시스,494120,KOSDAQ,999900000000
이노테크,469610,KOSDAQ,999900000000
노타,486990,KOSDAQ,999900000000
삼익제약,014950,KOSDAQ,999900000000
KB제33호스팩,0072Z0,KOSDAQ,999900000000
삼성스팩11호,0071M0,KOSDAQ,999900000000
에스투더블유,488280,KOSDAQ,999900000000
오아,342870,KOSDAQ,999900000000
그래피,318060,KOSDAQ,999900000000
애드포러스,397810,KOSDAQ,999900000000
삼성스팩10호,0044K0,KOSDAQ,999900000000
제이피아이헬스케어,0010V0,KOSDAQ,999900000000
한라캐스트,125490,KOSDAQ,999900000000
에스엔시스,0008Z0,KOSDAQ,999900000000
삼양컴텍,484590,KOSDAQ,999900000000
교보18호스팩,0041B0,KOSDAQ,999900000000
지투지바이오,456160,KOSDAQ,999900000000
아이티켐,309710,KOSDAQ,999900000000
하나35호스팩,0041L0,KOSDAQ,999900000000
프로티나,468530,KOSDAQ,999900000000
엔알비,475230,KOSDAQ,999900000000
뉴로핏,380550,KOSDAQ,999900000000
도우인시스,484120,KOSDAQ,999900000000
디비금융제14호스팩,0004Y0,KOSDAQ,999900000000
엘에스스팩1호,0041J0,KOSDAQ,999900000000
아우토크립트,331740,KOSDAQ,999900000000
뉴키즈온,462310,KOSDAQ,999900000000
싸이닉솔루션,234030,KOSDAQ,999900000000
KB제32호스팩,0037T0,KOSDAQ,999900000000
뉴엔AI,463020,KOSDAQ,999900000000
지에프씨생명과학,388610,KOSDAQ,999900000000
케이지에이,455180,KOSDAQ,999900000000
지씨지놈,340450,KOSDAQ,999900000000
링크솔루션,474650,KOSDAQ,999900000000
키스트론,475430,KOSDAQ,999900000000
신한제16호스팩,496070,KOSDAQ,999900000000
인투셀,287840,KOSDAQ,999900000000
바이오비쥬,489460,KOSDAQ,999900000000
이뮨온시아,424870,KOSDAQ,999900000000
바이오포트,188040,KOSDAQ,999900000000
티씨머티리얼즈,125020,KOSDAQ,999900000000
로킷헬스케어,376900,KOSDAQ,999900000000
오가노이드사이언스,476040,KOSDAQ,999900000000
원일티엔아이,136150,KOSDAQ,999900000000
나우로보틱스,459510,KOSDAQ,999900000000
